Name of Composer,Dates,Nationality,Name of piece,Year,Duration (mins),Instrumentation - Ensemble type (instruments),Recording links,Publisher,Score link,Composer website,Biography,Bio_source
"Musgrave, Thea",b.1928,British (Scottish),Clarinet Concerto,,,,,,,,"Rich and powerful musical language and a strong sense of drama have made Scottish-American composer Thea Musgrave one of the most respected and exciting contemporary composers in the Western world. Her works are performed in major concert halls, festivals, and radio stations on both sides of the Atlantic. 
Known for the clarity of her invention, the skill of her orchestrations, and the power of her musical communication, Musgrave has consistently explored new means of projecting essentially dramatic situations in her music, frequently altering and extending the conventional boundaries of instrumental performance by physicalizing their musical and dramatic impact: both without programmatic content (such as the Clarinet Concerto, the Horn Concerto, the Viola Concerto, and Space Play), and others with specific programmatic ideas (such as the paintings in The Seasons and Turbulent Landscapes, the poems in Ring Out Wild Bells, Journey through a Japanese Landscape, and Autumn Sonata, and the famous Greek legends in Orfeo, Narcissus, Helios, and Voices from the Ancient World); -- all extensions of concerto principles. In some of these, to enhance the dramatic effect, the sonic possibilities of spatial acoustics have been incorporated: in the Clarinet Concerto the soloist moves around the different sections of the orchestra, and in the Horn Concerto the orchestral horns are stationed around the concert hall. Thus the players are not only the conversants in an abstract musical dialogue, but also very much the living (and frequently peripatetic) embodiment of its dramatis personae. 
Her ten large-scale and several chamber operas of the past 40 years beginning with The Voice of Ariadne (1972) and followed by Mary, Queen of Scots (1977), A Christmas Carol (1979), Harriet, The Woman Called Moses (1984), Simón Bolívar (1992), Pontalba (2003) are in every sense the true successors to these instrumental concertos.
Two major retrospectives in recent years have shown the immense diversity of her music: the BBC’s Total Immersion weekend in 2014 and the   Stockholm International Composer Festival 2018, in which fifteen of her orchestral and chamber works in four concerts — the largest profile of her music to date. Musgrave has been featured at many other major festivals including as Edinburgh, Warsaw Autumn, Florence Maggio Musicale, Venice Biennale, Aldeburgh, Cheltenham and Zagreb. 
Musgrave has been the recipient of many notable awards including two Guggenheim Fellowships, the Ivors Classical Music Award 2018, and The Queen's Medal for Music. She was awarded a CBE on the Queen's New Year's Honour List in 2002.",https://www.theamusgrave.com/biography
"Musgrave, Thea",b.1928,British (Scottish),Towards the Blue,,,Clarinet and Chamber Orchestra,,,,,,
"Musgrave, Thea",b.1928,British (Scottish),Four Portraits,,,"Baritone, Clarinet and Piano",,,,,,
"Musgrave, Thea",b.1928,British (Scottish),Canta Canta,,,"Clarinet, Cello and Piano",,,,,,
"Musgrave, Thea",b.1928,British (Scottish),Chamber Concerto no. 2,,,,,,,,,
"Musgrave, Thea",b.1928,British (Scottish),Chamber Concerto no. 3,,,,,,,,,
"Musgrave, Thea",b.1928,British (Scottish),Impromptu no. 2 ,,,"Flute, Oboe and Clarinet",,,,,,
"Musgrave, Thea",b.1928,British (Scottish),Narcissus,,,Clarinet and electronics,,,,,,
"Musgrave, Thea",b.1928,British (Scottish),Pierrot,,,"Clarinet, Violin and Piano",,,,,,
"Musgrave, Thea",b.1928,British (Scottish),Threnody,,,Clarinet and Piano,,,,,,
"Musgrave, Thea",b.1928,British (Scottish),Wind Quintet,,,"Flute, Oboe, Clarinet, Bassoon, French Horn",,,,,,
"Musgrave, Thea",b.1928,British (Scottish),Ring Out Wild Bells,,,"Clarinet, Violin, Cello, Piano",,,,,,
"Musgrave, Thea",b.1928,British (Scottish),Serenade,,,"Flute, Clarinet, Harp, Viola, Cello",,,,,,
"Mutic, Sonja",b.1984,Serbian Croatian,(experimental music),,,,,,,https://www.sonjamutic.com/,,
"Ní Ríain, Ailís",b.1974,Irish,Consent #7,2017,7,Bass Flute and Bass Clarinet,,,https://www.cmc.ie/music/consent-7,,"Ailís Ní Ríain is a contemporary classical composer and published writer for stage who aims to produce work that challenges, provokes and engages. A regular collaborator with artists in other art-forms, her artistic interests are diverse and combined with an unwavering desire to push and develop her artistic practice through each new project or commission.

Ailís composes concert music, site­-specific music installations, opera, music­-theatre and often collaborates with artists working in other forms such as visual art, text, photography and illustration.

There have been performances of her work at the Queen Elizabeth Hall, London, The National Concert Hall of Ireland and Carnegie Hall, New York, throughout Europe and on BBC Radio and RTE Radio.",https://www.ailis.info/about-2
"Ní Ríain, Ailís",b.1974,Irish,End with Words of Hope,2010,9,Soprano and Clarinet (Optional Speaker),https://vimeo.com/363576018,,https://www.cmc.ie/music/end-words-hope,,,
"Ní Ríain, Ailís",b.1974,Irish,FIRST ABSOLUTE EXECUTION,2004,11,Bass Clarinet and Accordion,https://www.cmc.ie/music/first-absolute-execution,,https://www.cmc.ie/music/first-absolute-execution,,,
"Ní Ríain, Ailís",b.1974,Irish,DON'T!,2000,4,Bass Clarinet and Cello,https://soundcloud.com/ailisniriain/dont?in=ailisniriain/sets/public,,https://www.cmc.ie/music/dont,,,
"Ní Ríain, Ailís",b.1974,Irish,The Man Made of Rain,1999,10,Clarinet/Speaker and Piano,https://www.cmc.ie/music/man-made-rain,,https://www.cmc.ie/music/man-made-rain,,,
"Ní Ríain, Ailís",b.1974,Irish,Reinventions,2010,18,"Clarinet, Viola and Piano (Optional Speaker)",https://www.cmc.ie/music/reinventions,,https://www.cmc.ie/music/reinventions,,,
"Ní Ríain, Ailís",b.1974,Irish,Orizzontale,1997,9,"Violin, Clarinet, Cello, Piano, Percussion",,,https://www.cmc.ie/music/orizzontale,,,
"Ní Ríain, Ailís",b.1974,Irish,The Dead Live,2002,,"Piccolo, Oboe, Bass Clarinet, Bassoon, Horn, Cello, Bass, Piano, Harp, Percussion, 6 pairs of glasses",https://www.cmc.ie/music/dead-live,,https://www.cmc.ie/music/dead-live ,,,
"Ní Ríain, Ailís",b.1974,Irish,I Used to Feel...,2016,30,Clarinet and Sign-Language Performer,https://soundcloud.com/ailisniriain/i-used-to-feel-extract-a-ni-riain,,https://www.cmc.ie/music/i-used-feel,,,
"Ní Ríain, Ailís",b.1974,Irish,Exit (A music theatre work in three scenes),2003,,"Mixed vocal sextet, Flute, Clarinet, Violin, Guitar, Harp, Vibraphone, Double Bass/Electric Bass, Percussion",,,https://www.cmc.ie/music/exit,,,
"Ní Ríain, Ailís",b.1974,Irish,"When I die, you can do what you want",2014,12,Clarinet and Video,https://soundcloud.com/ailisniriain/when-i-die-a-ni-riain,,https://www.cmc.ie/music/when-i-die-you-can-do-what-you-want-0,,,
"Ní Ríain, Ailís",b.1974,Irish,Parambassis,2019,10,Bass Clarinet and Recorders,,,,,,
"Panufnik, Roxanna",b.1968,British (English),A Wind at Rocks Haven,1997,5,"Mezzo-Soprano, Clarinet",,Edition Peters,,,,
"Perry, Zenobia Powell",1908-2004,American,Sonatine,1963,10.5,Clarinet and Piano,https://open.spotify.com/album/5O7A5wdvY9zbUKvYbrfU6n?si=SuaQOkAoR2-5dmBOmjwz6Q,Jaygayle Music,https://www.jeanniegaylepool.com/product-page/sonatine-for-clarinet-and-piano-by-zenobia-powell-perry-1,http://www.zenobiapowellperry.org/,,
"Perry, Zenobia Powell",1908-2004,American,Four Mynyms for Three Players,1962,6,"Flute, Clarinet, Piano",,Jaygayle Music,https://www.jeanniegaylepool.com/product-page/four-mynyms-for-three-players-for-flute-clarinet-and-piano,http://www.zenobiapowellperry.org/,,
"Perry, Zenobia Powell",1908-2004,American,Two Letters,1975,4,"Clarinet, Cello, Piano",,Jaygayle Music,,,,
"Polias, Peggy",b.1981,Australian,Phlogiston,2004,4,"Flute, Clarinet, 2 Violins, Viola, Cello",https://open.spotify.com/track/2RbJ6lCtL2gQa2QgdYrsnF?si=5a3e4e9a26cb4e20,Australian Music Centre,https://www.australianmusiccentre.com.au/product/phlogiston-1,,,
"Rainier, Priaulx",1903-1986,South African British,6 Pieces for 5 Wind Instruments,1954,18,"Flute, Oboe, Clarinet, Bassoon, Horn",,Schott Music,https://en.schott-music.com/shop/six-pieces-no40494.html,,,
"Ran, Shulamit",b.1949,Israeli American,A Prayer ,1981,,"Horn, Clarinet, Bass Clarinet, Bassoon, and Timpani",,,,,,
"Ran, Shulamit",b.1949,Israeli American,Private Game,1979,4,Clarinet and Cello,,,,,,
"Ran, Shulamit",b.1949,Israeli American,For an Actor: Monologue for Clarinet ,1978,8,Solo Clarinet in A,https://open.spotify.com/track/1XHFWTtCzzw61TprJr6qjg?si=7abe083b1cd749cf,,,,,
"Ran, Shulamit",b.1949,Israeli American,Three Scenes,2000,,Solo Clarinet,,,,,,
"Ran, Shulamit",b.1949,Israeli American,The Show Goes On,2008,,Clarinet and Orchestra,,,,,,
"Ran, Shulamit",b.1949,Israeli American,Apprehensions,1979,20.5,"Voice, Clarinet in A and Piano",,,https://www.presser.com/511-01816-apprehensions.html,,,
"Ran, Shulamit",b.1949,Israeli American,Birkat Haderekh – Blessing for the Road,2015,,"Clarinet, Violin, Cello and Piano",,,https://www.presser.com/114-41716-birkat+haderekh+%e2%80%93+blessing+for+the+road.html,,,
"Ran, Shulamit",b.1949,Israeli American,Birkat Haderekh – Blessing for the Road II,2016,,"Clarinet, Alto Sax, Violin, Cello, Percussion and Piano",,,https://www.presser.com/114-41891-birkat+haderekh+%e2%80%93+blessing+for+the+road+ii.html,,,
"Ran, Shulamit",b.1949,Israeli American,Adonai Malach (Psalm 93),1985,,"Voice, Piccolo, Oboe, Clarinet and Horn",,,https://www.presser.com/111-40278-adonai+malach.html,,,
"Ran, Shulamit",b.1949,Israeli American,Concerto Da Camera I,,15,"Piccolo, English horn, Bass Clarinet, Horn, Contrabassoon",,,https://www.presser.com/554-00721-concerto-da-camera-i.html,,,
"Ran, Shulamit",b.1949,Israeli American,Concerto Da Camera II,1987,17,"Clarinet, Violin 1, Violin 2, Viola, Cello and Piano",,,https://www.presser.com/114-40558-concerto+da+camera+ii.html,,,
"Ran, Shulamit",b.1949,Israeli American,Double Vision for Two Quintets and Piano,,,"Wind Quintet, Brass Quintet, Piano",,,https://www.presser.com/116-41666-double-vision.html,,,
"Ran, Shulamit",b.1949,Israeli American,Mirage,,,"Flute (picc, alto flute), Clarinet, Violin, Cello, Piano",,,https://www.presser.com/414-41170-mirage.html,,,
"Raum, Elizabeth",b.1945,Canadian,Phoenix,1986,16,"Flute, Clarinet, Trombone, Percussion, Piano, Cello",,,https://www.musiccentre.ca/node/80015,,,
"Raum, Elizabeth",b.1945,Canadian,King Lear Fantasy,1987,11,"Flute, Oboe, Clarinet, Bassoon, Alto Trombone",https://www.youtube.com/watch?v=QqcUmRplmwY,Canadian Music Centre,,,,
"Richter, Marga",1926-2020,American,Sonata for Clarinet and Piano,1948,11,Clarinet and Piano,https://open.spotify.com/album/6kHoK2sRtSuXisGuBcXvjU?si=8M51myZtREO5BXyAgUrtaA,Carl Fischer,https://www.sheetmusicplus.com/title/sonata-for-clarinet-and-piano-sheet-music/17994942,,,
"Richter, Marga",1926-2020,American,Sonora,1981,10,2 Clarinets and Piano,,Carl Fischer,,,,
"Richter, Marga",1926-2020,American,Fandango Fantasy,2007,,"Clarinet, Violin, Cello, Piano",,,,,,
"Richter, Marga",1926-2020,American,Summer Reveries on a Mountainside,2009,,Solo Clarinet,,,,,,
"Rudd Moore, Dorothy",1940-2022,American,Night Fantasy,1978,,Clarinet and Piano,https://www.youtube.com/watch?v=HwkYktHFgeE,,https://composers.com/composers/dorothy-rudd-moore/night-fantasy,,,
"Rueff, Jeanine",1922-1999,French,Concertino,1950,8,Clarinet and Piano/Orchestra,https://www.youtube.com/watch?v=P8VCXUWTvVY,Alphonse Leduc,https://www.musicroom.com/jeanine-rueff-concertino-clarinet-and-accomp-al20782,,,
"Rueff, Jeanine",1922-1999,French,Variazioni,1972,,Clarinet and Piano,,Alphonse Leduc,https://www.musicroom.com/jeanine-rueff-variazioni-clarinet-and-accomp-al25366,,,
"Rueff, Jeanine",1922-1999,French,Trois Pièces,,,"Oboe, Clarinet, Bassoon",,Alphonse Leduc,https://www.prestomusic.com/sheet-music/products/7377726--jeanine-rueff-trois-pieces,,,
"Rueff, Jeanine",1922-1999,French,15 Etudes,,,Solo Clarinet,,Alphonse Leduc,https://www.boosey.com/shop/prod/Rueff-Jeanine-15-Etudes-Clarinet-solo/2276765,,,
"Saariaho, Kaija",b.1952,Finnish,Duft,2012,8,Solo clarinet,,,,,,
"Saariaho, Kaija",b.1952,Finnish,Oi Kuu,1990,6,Bass Clarinet and Cello,,Edition Wilhelm Hansen,,https://saariaho.org/,,
"Saariaho, Kaija",b.1952,Finnish,D'om Le Vrai Sens,2010,35,Clarinet and Orchestra,,,,,,
"Saariaho, Kaija",b.1952,Finnish,Figura,2016,,"Clarinet, String Quartet, Piano",,,,,,
"Sachsen-Meiningen, Marie Elisabeth von",1853-1923,German,Romanze,1892,7,Clarinet and Piano,,,,,,
"Samuel, Rhian",b.1944,British (Welsh),...et lamentable joye,1988,6,Solo Clarinet,,Stainer & Bell,,https://www.rhiansamuel.com/,"Composer Rhian Samuel was born in Aberdare, Wales, in 1944 to a Welsh speaking, musical family. She has lived in Britain and the United States and currently divides her time between Aberdyfi (mid-Wales) and London. She writes orchestral music, chamber music and vocal and choral music and has worked with many of today's foremost classical artists. Her large orchestral works include Elegy-Symphony (St Louis Symphony Orchestra, Leonard Slatkin, conductor, 1981); Clytemnestra (1994) for soprano and orchestra, which was released on disc in 2020 and short-listed for a Gramophone Award, Dawnsiau'r Nant / Dances of the Stream (1999) and Tirluniau / Landscapes (2000), which was premiered at the BBC Millennium Proms in the Albert Hall by the BBC National Orchestra of Wales, Tadaaki Otaka, conductor. 

In the USA she was joint winner of the ASCAP-Rudolph Nissim Award, 1983, from The American Society of Composers, Authors and Publishers, for her choral-orchestral work, La belle dame sans merci. In the UK she won first prize at the Greenwich Festival (1979) and has received subsequent accolades including the Glyndŵr Medal for services to the Arts in Wales and an Hon DMus from the University of Wales. To date around 140 of her works have been published.  ",https://www.rhiansamuel.com/
"Samuel, Rhian",b.1944,British (Welsh),Little Duos,2006,9,2 Clarinets,https://www.youtube.com/watch?v=KHV6C9b22I4,Stainer & Bell,,https://www.rhiansamuel.com/,,
"Samuel, Rhian",b.1944,British (Welsh),Redlands Suite,1967,8,"Oboe, Clarinet, Bassoon",https://www.youtube.com/watch?v=FXCevcfV5HI,Tŷ Cerdd,,https://www.rhiansamuel.com/,,
"Samuel, Rhian",b.1944,British (Welsh),Locomotion,2016,7.5,Clarinet Quartet (4 Clarinets),https://www.youtube.com/watch?v=99EtauECAFk,Stainer & Bell,,https://www.rhiansamuel.com/,,
"Samuel, Rhian",b.1944,British (Welsh),Pererin,2015,4.5,Flute and Clarinet,,Tŷ Cerdd,,https://www.rhiansamuel.com/,,
"Samuel, Rhian",b.1944,British (Welsh),Shadow Dance,1984,7,"Flute, Clarinet, Piano",,Stainer & Bell,,https://www.rhiansamuel.com/,,
"Samuel, Rhian",b.1944,British (Welsh),Stepping Out I,1996,9,Clarinet and Piano,,Stainer & Bell,,https://www.rhiansamuel.com/,,
"Samuel, Rhian",b.1944,British (Welsh),Stepping Out II,2000,8,"Clarinet, Viola, Piano",,Stainer & Bell,,https://www.rhiansamuel.com/,,
"Samuel, Rhian",b.1944,British (Welsh),Emerging (Lightly),2008,6,"Flute, Clarinet, 2 Violins, Cello, Harp",,Stainer & Bell,,https://www.rhiansamuel.com/,,
"Samuel, Rhian",b.1944,British (Welsh),Wind Trio,2022,,"Oboe, Clarinet, Horn/Cor Anglais",,Rhian Samuel,,,,
"Samuel, Rhian",b.1944,British (Welsh),Primavera,1984,20,"Wind Quintet (Flute, Oboe, Clarinet, Bassoon, Horn)",https://www.youtube.com/watch?v=-VNB-sbMNlY,Stainer & Bell,,,,
"Saunders, Rebecca",b.1967,British (English),the underside of green,1994,8,"Clarinet, Violin, Piano",https://www.youtube.com/watch?v=65_TB0kN81M,Edition Peters,,https://www.rebeccasaunders.net/,,
"Saunders, Rebecca",b.1967,British (English),Caerulean,2011,21,Bass Clarinet and Electronics,Naxos,Edition Peters,,,,
"Schleicher-Kraemer, Caroline",1794-1873,German,Sonatina,1825,12,Clarinet and Piano,https://open.spotify.com/album/0yeR1dIQBfOmg3n3t1fi8u,Editio Musica Budapest,,https://carolineschleicher.com/,,
"Schönthal, Ruth",1924-2006,German,Sonata Concertante,1973,18,Clarinet and Piano,Naxos,Furore Verlag,,,,
"Shaffer, Jeanne E",1925-2007,American,Three Faces of Woman,1995,17,Clarinet and Piano,https://www.youtube.com/watch?v=Pn_UBXv3rXc,Sisra Publications,,,,
"Shatin, Judith",b.1949,American,Grito Del Corazon,2001,5,"Solo or chamber ensemble (Any of the following, either individually or in combination, amplified: bassoon, clarinet, bass clarinet, mezzo voice, Saxophone, trumpet, trombone, viola, cello, marimba, multi-percussion, piano) with electronic playback and optional video",Naxos,,https://www.judithshatin.com/grito-del-corazon/,,,
"Shatin, Judith",b.1949,American,Meridians,1988,,Solo Clarinet,,,,,,
"Shrude, Marilyn",b.1946,American,Notturno: In Memoriam Toru Takemitsu,2011,9,"Clarinet, Alto Saxophone, Piano",Naxos,,https://www.marilynshrude.com/works/notturno-in-memoriam-toru-takemitsu-version-for-clarinet-alto-saxophone-and-piano/,,,
"Silverman, Faye-Ellen",b.1947,American,Windscape,1977,5,"Flute, Oboe, Clarinet, Bassoon, Horn",,Seesaw Music,http://store.subitomusic.com/index.php?main_page=product_info&cPath=3_117_340&products_id=1200,,,
"Silverman, Faye-Ellen",b.1947,American,Restless Winds,1986,5,"Flute, Oboe, Clarinet, Bassoon, Horn",,Seesaw Music,http://store.subitomusic.com/index.php?main_page=product_info&cPath=3_117_340&products_id=1191,,,
"Silverman, Faye-Ellen",b.1947,American,No Strings,1982,11,"Flute/Picc, Oboe, Bass Clarinet, Bassoon, Alto Saxophone, French Horn, Trumpet, Trombone, Tuba, 1 Percussion",,Seesaw Music,http://store.subitomusic.com/index.php?main_page=product_info&cPath=3_117_340&products_id=1960,,,
"Silverman, Faye-Ellen",b.1947,American,Conversations,1975,5,"Alto Flute, Clarinet",,Seesaw Music,http://store.subitomusic.com/index.php?main_page=product_info&cPath=3_117_340&products_id=1165,,,
"Silverman, Faye-Ellen",b.1947,American,Conversations Continued,2012,6,"Alto Flute, Clarinet",,Seesaw Music,http://store.subitomusic.com/index.php?main_page=product_info&cPath=3_117_340&products_id=6052,,,
"Smith, Alice Mary",1839-1884,British (English),Sonata in A,1870,24,Clarinet and Piano,https://open.spotify.com/track/24XpIWWl5Ot0wyNp5dJMP1?si=mXLLN3JLQ32Y0FyrWBOI,Hildegard Publishing,https://www.stretta-music.com/smith-sonata-in-a-nr-745644.html,,"Alice Mary Smith (married name Alice Mary Meadows White) was a prolific and talented Victorian composer, remarkable for being the first known woman in Britain to have composed a symphony. During her lifetime, she gained a favourable reputation.
Alice Mary Smith was born in 1839, the third child of a relatively wealthy family. Her father was a lace merchant. Well educated, she started to learn Latin at age six, Greek at eight, and Hebrew at 10. Her wide knowledge of poetry was later evidenced by her choice of texts for her songs and the subjects of her concert overtures. She showed talent in music from a young age and was fortunate that her family could afford to provide her with private lessons from William Sterndale Bennett and George Alexander Macfarren.
Smith joined the Musical Society of London in 1861, an organisation of contemporary composers who as members gained the opportunity of hearing their works in performance. In 1863, at the age of just 24, she wrote her first symphony, Symphony in C Minor. It was performed by the Musical Society of London later that year. A review of the concert appeared in the Illustrated London News:
“On the same evening, at the Hanover-square Rooms, the Musical society of London had a trial-performance of new orchestral compositions by members of the society. Several symphonies and overtures were performed by a full and excellent orchestra, which did them every justice. Amongst the most remarkable was a symphony in C minor by Miss Alice Mary Smith and a symphony in A minor by Mr. John Francis Barnett, both admirable compositions, which did honour to the talents of their authors. Miss Smith's symphony especially, coming from the pen of a young lady, was striking proof of the sound studies and high attainments of the female votaries of the art in this country. We trust that these symphonies will be brought before the public in the course of the ensuing season.”
In November 1867, the year of her marriage to a lawyer, Frederick Meadows White, Alice Mary Smith was elected Female Professional Associate of the Royal Philharmonic Society. In 1884 she was elected an honorary member of the Royal Academy of Music.
It was a time in which it was widely believed that women were incapable of composing large-scale works. As with other female composers of the time, Smith was sometimes forced to adopt a male pseudonym - Emil Künstler - to submit compositions for publication, as a female name often caused immediate rejection. However, Smith’s husband actively defended and supported his wife’s musical activities, and even used his influence and money to promote her performances. It was symptomatic of the times that he assured her critics that her composing in no way detracted from her “good management of domestic affairs”.
Smith's oeuvre includes one of the largest collections of sacred choral music by a woman composer, and comprises six anthems, three canticles (and the beginning to a fourth), as well as a short Sacred Cantata Exile, based on episodes from Jean Racine's Esther. Her anthems Whoso hath this world's goods and By the waters of Babylon were performed in a liturgical context at St Andrew's, Wells Street by Sir Joseph Barnby in February 1864, making them the first recorded instance of music by a woman composer to be used for the liturgies of the Church of England.
Smith’s important Clarinet Sonata in A Major was written in 1870 and was performed by the virtuoso clarinettist Henry Lazarus, with Smith at the piano in December of the same year. It was possibly the first British sonata for the instrument, to be followed ten years later by that of Charles Swinnerton Heap (1880) and Ebenezer Prout (1882). Lazarus was clearly impressed by the work, as he persuaded Smith to adapt the sonata as a concerto. All that survives is the slow movement, a substantial piece that can stand on its own and which shows off the characteristics of the instrument, exploiting its full range and timbres. Lazarus gave three performances of the orchestrated version in 1872–73 at festivals in Norwich, Brighton and London.
Her other compositions include another symphony, written in A minor, four piano quartets, two large choral works with soloists, six concert overtures, three string quartets, four large-scale cantatas, as well as an extensive collection of 40 songs. Novello & Co published her four secular cantatas, which were some of the first brought out by a female.
On December 4, 1884, Smith died of typhoid in London, aged just 45. The Musical Times ran an obituary that praised her accomplishments, saying:
“She has gradually achieved a fame which places her name at the head of female creative artists; no other, as far as we are aware, having written for the orchestra, both alone, and in combination with voices.”
The New York Times and The Boston Evening Traveller also carried obituaries. Another, in The Athenaeum, of December 13, 1884, states:
""Her music is marked by elegance and grace... power and energy. Her forms were always clear and her ideas free from eccentricity; her sympathies were evidently with the classic rather than with the romantic school.""",http://www.maudpowell.org/signature/Portals/0/pdfs/signature/Signature_Autumn_2008.pdf
"Smith, Alice Mary",1839-1884,British (English),Andante for Clarinet and Orchestra,1870,7,Clarinet and Orchestra,https://www.youtube.com/watch?v=00WJIFsNl3M,,https://imslp.org/wiki/Andante_for_Clarinet_and_Orchestra_in_D_major_(Smith%2C_Alice_Mary),,,
"Smyth, Ethel",1858-1944,British (English),Two Interlinked French Folk Melodies,1923,5,"Flute, Oboe, Clarinet",Naxos,,,,,
"Stanley, Jane",b.1976,Australian,Maiden Aunts,2003,8,"Soprano, Mezzo-Soprano, Clarinet, Violin, Piano",,AMC,,,,
"Stanley, Jane",b.1976,Australian,Helix Reflection,2013,5,Flute and Clarinet,https://www.youtube.com/watch?v=ES2iRqnG6SU,AMC,https://www.australianmusiccentre.com.au/product/helix-reflection-for-flute-and-b-flat-clarinet,,,
"Sutherland, Margaret",1897-1984,Australian,Sonata,1949,9,Clarinet and Piano,https://open.spotify.com/track/4NrzcCU2C7hL6qqx7PBn6l?si=oCgl9wlNRWubS8XnWPZEIg,,https://trove.nla.gov.au/work/8656340,,,
"Sutherland, Margaret",1897-1984,Australian,Little Suite for Woodwind Trio,1960,,"Flute, Clarinet and Bassoon",https://www.australianmusiccentre.com.au/product/rush-the-adventures-of-sebastian-the-fox-and-other-goodies,,https://www.australianmusiccentre.com.au/workversion/sutherland-margaret-little-suite/16607,,,
"Sutherland, Margaret",1897-1984,Australian,Quartet,,,"Clarinet, Horn, Viola, Piano",,,,,,
"Sutherland, Margaret",1897-1984,Australian,Two Dialogues,,,Clarinet and Violin,,,,,,
"Tailleferre, Germaine",1892-1983,French,Clarinet Sonata,1957,7,Solo Clarinet,,,,,,
"Tailleferre, Germaine",1892-1983,French,Arabesque,,3,Clarinet and Piano,,,,,,
"Tailleferre, Germaine",1892-1983,French,Image,1918,,"Clarinet, Flute, 2 Violins, Viola, Cello, Celeste, Piano",,,,,,
"Tailleferre, Germaine",1892-1983,French,Trois Dances (from La Nouvelle Cythère),,,Clarinet and Piano,,,,,,
"Tailleferre, Germaine",1892-1983,French,Minuet,,,Clarinet and Piano,,,,,,
"Tailleferre, Germaine",1892-1983,French,Sicilienne,,,Clarinet and Piano,,,,,,
"Tailleferre, Germaine",1892-1983,French,Choral et Deux Variations,1979,5,"Wind Quintet (Flute, Oboe, Clarinet, Bassoon, Horn)",,,,,,
"Tailleferre, Germaine",1892-1983,French,Sarabande,,,Clarinet Duet or Clarinet and Oboe,,,,,,
"Tailleferre, Germaine",1892-1983,French,Sonata Champêtre ,1972,,"Clarinet, Bassoon, Piano",,,,,,
"Tailleferre, Germaine",1892-1983,French,Serenade in A minor,,,"2 Oboes, Clarinet, Bassoon, Piano",,,https://www.juneemersonwindmusic.com/SERENADE-in-A-minor-a9e1c7aa-eb31-42e4-9707-fe604e3b2b9c.html,,,
"Tate, Phyllis",1911-1987,British (English),Songs of Sundry Natures,1945,,"Flute, Clarinet, Horn, Bassoon, Harp, Baritone Voice",,,,https://www.phyllis-tate.com/,,
"Tate, Phyllis",1911-1987,British (English),Sonata for Clarinet and Cello,1947,20,Clarinet and Cello,https://www.youtube.com/watch?v=b93Yt-02RA4,OUP Archive,https://www.juneemersonwindmusic.com/SONATA-Score.html,https://www.phyllis-tate.com/,,
"Tate, Phyllis",1911-1987,British (English),Air and Variations,1958,14,"Violin, Clarinet, Piano",,OUP Archive,https://www.juneemersonwindmusic.com/AIR-AND-VARIATIONS.html,https://www.phyllis-tate.com/,,
"Tate, Phyllis",1911-1987,British (English),Scenes from Tyneside,1978,20,"Mezzo-Soprano, Clarinet, Piano",,Emerson Edition,https://www.juneemersonwindmusic.com/SCENES-FROM-TYNESIDE.html,https://www.phyllis-tate.com/,,
"Tate, Phyllis",1911-1987,British (English),Three Pieces,1979,7,Solo Clarinet,,OUP Archive,https://www.juneemersonwindmusic.com/THREE-PIECES-859fa4b9-eb6b-427f-ace7-ce235b3888f8.html,https://www.phyllis-tate.com/,,
"Tate, Phyllis",1911-1987,British (English),"Prelude, Aria, Interlude, Finale",1981,15,Clarinet and Piano,,OUP Archive,https://www.juneemersonwindmusic.com/PRELUDE-ARIA-INTERLUDE-FINALE.html,https://www.phyllis-tate.com/,,
"Tower, Joan",b.1938,American,Fantasy (...those harbor lights),1983,15,Clarinet and Piano,,Associated Music Publishers,,,,
"Tower, Joan",b.1938,American,Wings,1981,9,Solo Clarinet,,Associated Music Publishers,https://www.wisemusicclassical.com/work/23912/Wings-for-clarinet--Joan-Tower/,,,
"Tower, Joan",b.1938,American,Clarinet Concerto,1988,19,Clarinet and Orchestra,,,,,,
"Tower, Joan",b.1938,American,Breakfast Rhythms I and II,1974,15,"Flute, Clarinet, Violin, Cello, Piano, Percussion",,,,,,
"Tower, Joan",b.1938,American,Black Topaz,1976,12,"Flute, Clarinet/Bass Clarinet, Trumpet, Trombone, Piano, Percussion",,,,,,
"Tower, Joan",b.1938,American,Amazon I,1977,13,"Flute, Clarinet, Violin, Cello, Piano",,,,,,
"Tower, Joan",b.1938,American,Petroushskates,1980,5,"Flute, Clarinet, Violin, Cello, Piano",,,,,,
"Tower, Joan",b.1938,American,Noon Dance,1982,17,"Flute, Clarinet, Violin, Cello, Piano, Percussion",,,,,,
"Tower, Joan",b.1938,American,Turning Points,1995,16,Clarinet Quintet (Clarinet and String Quartet),,,,,,
"Tower, Joan",b.1938,American,Rain Waves,1997,13,"Clarinet, Violin, Piano",,,,,,
"Tower, Joan",b.1938,American,A Little Gift,2006,2,Flute and Clarinet,,,,,,
"Tower, Joan",b.1938,American,A Gift,2007,20,"Flute, Clarinet, Bassoon, Horn, Piano",,,,,,
"Trimble, Joan",1915-2000,Irish,Three Diversions for Wind Quintet,1990,11,"Flute, Oboe, Clarinet, Bassoon, Horn",https://www.youtube.com/watch?v=V2_bgnblLDg,Rosewood Publications,https://www.sheetmusicplus.com/title/three-diversions-for-wind-quintet-sheet-music/19254911,https://www.cmc.ie/composers/joan-trimble,,
